TransactionId,Transaction
0,"croissant,coffee"
1,"croissant,brownie"
2,"brownie,croissant"
3,"sausage bread,coffee"
4,"orange juice,croissant"
5,"croissant,coffee"
6,"croissant,cookie"
7,"coffee,orange juice"
8,"orange juice,croissant"
9,"brownie,orange juice"
10,"orange juice,cookie"
11,"sausage bread,cookie"
12,"cookie,orange juice"
13,"pain au chocolat,cookie"
14,"coffee,pain au chocolat"
15,"orange juice,croissant"
16,"brownie,coffee"
17,"croissant,cookie"
18,"pain au chocolat,orange juice"
19,"coffee,orange juice"
20,"pain au chocolat,sausage bread"
21,"croissant,brownie"
22,"croissant,coffee"
23,"cookie,orange juice"
24,"croissant,sausage bread"
25,"orange juice,croissant"
26,"sausage bread,cookie"
27,"coffee,orange juice"
28,"coffee,croissant"
29,"cookie,brownie"
30,"pain au chocolat,cookie"
31,"orange juice,sausage bread"
32,"brownie,coffee"
33,"sausage bread,coffee"
34,"pain au chocolat,sausage bread"
35,"cookie,pain au chocolat"
36,"orange juice,cookie"
37,"brownie,croissant"
38,"sausage bread,brownie"
39,"croissant,sausage bread"
40,"coffee,croissant"
41,"coffee,brownie"
42,"croissant,pain au chocolat"
43,"pain au chocolat,coffee"
44,"sausage bread,coffee"
45,"sausage bread,pain au chocolat"
46,"orange juice,cookie"
47,"cookie,sausage bread"
48,"pain au chocolat,sausage bread"
49,"sausage bread,orange juice"
50,"croissant,coffee"
51,"brownie,orange juice"
52,"brownie,orange juice"
53,"orange juice,croissant"
54,"coffee,pain au chocolat"
55,"croissant,coffee"
56,"brownie,sausage bread"
57,"croissant,sausage bread"
58,"orange juice,sausage bread"
59,"orange juice,coffee"
60,"cookie,orange juice"
61,"croissant,pain au chocolat"
62,"cookie,orange juice"
63,"croissant,orange juice"
64,"brownie,coffee"
65,"sausage bread,brownie"
66,"cookie,orange juice"
67,"coffee,pain au chocolat"
68,"croissant,sausage bread"
69,"pain au chocolat,brownie"
70,"pain au chocolat,cookie"
71,"orange juice,brownie"
72,"croissant,brownie"
73,"sausage bread,croissant"
74,"croissant,brownie"
75,"orange juice,sausage bread"
76,"pain au chocolat,brownie"
77,"pain au chocolat,brownie"
78,"croissant,orange juice"
79,"pain au chocolat,cookie"
80,"coffee,croissant"
81,"sausage bread,croissant"
82,"pain au chocolat,orange juice"
83,"sausage bread,pain au chocolat"
84,"brownie,croissant"
85,"cookie,brownie"
86,"orange juice,coffee"
87,"sausage bread,coffee"
88,"orange juice,croissant"
89,"cookie,coffee"
90,"pain au chocolat,orange juice"
91,"brownie,croissant"
92,"croissant,brownie"
93,"orange juice,pain au chocolat"
94,"pain au chocolat,croissant"
95,"cookie,croissant"
96,"brownie,pain au chocolat"
97,"cookie,pain au chocolat"
98,"coffee,cookie"
99,"brownie,croissant"
100,"pain au chocolat,coffee"
101,"brownie,croissant"
102,"sausage bread,coffee"
103,"croissant,sausage bread"
104,"cookie,croissant"
105,"coffee,croissant"
106,"coffee,orange juice"
107,"cookie,brownie"
108,"cookie,coffee"
109,"cookie,sausage bread"
110,"croissant,coffee"
111,"coffee,pain au chocolat"
112,"sausage bread,croissant"
113,"coffee,croissant"
114,"coffee,orange juice"
115,"brownie,sausage bread"
116,"coffee,cookie"
117,"croissant,brownie"
118,"brownie,orange juice"
119,"orange juice,croissant"
120,"croissant,orange juice"
121,"sausage bread,coffee"
122,"brownie,coffee"
123,"brownie,sausage bread"
124,"croissant,cookie"
125,"coffee,sausage bread"
126,"cookie,pain au chocolat"
127,"orange juice,pain au chocolat"
128,"croissant,pain au chocolat"
129,"pain au chocolat,croissant"
130,"sausage bread,cookie"
131,"brownie,pain au chocolat"
132,"sausage bread,coffee"
133,"croissant,pain au chocolat"
134,"croissant,orange juice"
135,"cookie,pain au chocolat"
136,"cookie,croissant"
137,"pain au chocolat,cookie"
138,"sausage bread,orange juice"
139,"brownie,pain au chocolat"
140,"sausage bread,brownie"
141,"cookie,pain au chocolat"
142,"coffee,brownie"
143,"cookie,coffee"
144,"pain au chocolat,croissant"
145,"croissant,orange juice"
146,"pain au chocolat,croissant"
147,"sausage bread,orange juice"
148,"sausage bread,pain au chocolat"
149,"coffee,sausage bread"
150,"cookie,orange juice"
151,"cookie,brownie"
152,"croissant,pain au chocolat"
153,"cookie,orange juice"
154,"cookie,pain au chocolat"
155,"pain au chocolat,coffee"
156,"croissant,orange juice"
157,"croissant,cookie"
158,"croissant,coffee"
159,"croissant,brownie"
160,"brownie,pain au chocolat"
161,"brownie,sausage bread"
162,"pain au chocolat,brownie"
163,"brownie,orange juice"
164,"cookie,pain au chocolat"
165,"coffee,cookie"
166,"brownie,croissant"
167,"croissant,sausage bread"
168,"cookie,orange juice"
169,"coffee,pain au chocolat"
170,"orange juice,croissant"
171,"sausage bread,orange juice"
172,"croissant,cookie"
173,"pain au chocolat,croissant"
174,"cookie,orange juice"
175,"croissant,orange juice"
176,"sausage bread,orange juice"
177,"coffee,croissant,brownie"
178,"croissant,orange juice,cookie"
179,"brownie,pain au chocolat,coffee"
180,"coffee,pain au chocolat,brownie"
181,"pain au chocolat,sausage bread,croissant"
182,"pain au chocolat,coffee,brownie"
183,"pain au chocolat,coffee,brownie"
184,"orange juice,coffee,brownie"
185,"brownie,coffee,orange juice"
186,"cookie,orange juice,brownie"
187,"brownie,coffee,orange juice"
188,"brownie,croissant,pain au chocolat"
189,"orange juice,cookie,sausage bread"
190,"pain au chocolat,coffee,brownie"
191,"orange juice,cookie,croissant"
192,"croissant,coffee,orange juice"
193,"coffee,cookie,sausage bread"
194,"brownie,coffee,orange juice"
195,"orange juice,coffee,sausage bread"
196,"brownie,pain au chocolat,coffee"
197,"sausage bread,croissant,coffee"
198,"orange juice,croissant,pain au chocolat"
199,"sausage bread,cookie,pain au chocolat"
200,"croissant,pain au chocolat,brownie"
201,"croissant,pain au chocolat,orange juice"
202,"croissant,sausage bread,cookie"
203,"cookie,pain au chocolat,croissant"
204,"pain au chocolat,cookie,coffee"
205,"brownie,pain au chocolat,sausage bread"
206,"orange juice,croissant,sausage bread"
207,"orange juice,brownie,sausage bread"
208,"pain au chocolat,brownie,cookie"
209,"cookie,orange juice,sausage bread"
210,"sausage bread,cookie,pain au chocolat"
211,"pain au chocolat,brownie,orange juice"
212,"coffee,cookie,pain au chocolat"
213,"cookie,brownie,orange juice"
214,"cookie,pain au chocolat,sausage bread"
215,"brownie,croissant,coffee"
216,"coffee,brownie,pain au chocolat"
217,"pain au chocolat,brownie,croissant"
218,"sausage bread,coffee,orange juice"
219,"orange juice,coffee,sausage bread"
220,"sausage bread,coffee,croissant"
221,"croissant,pain au chocolat,coffee"
222,"orange juice,cookie,brownie"
223,"cookie,orange juice,brownie"
224,"brownie,croissant,pain au chocolat"
225,"coffee,brownie,sausage bread"
226,"croissant,cookie,coffee"
